link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(30, 668, '0')",0.000,0.018,0.090,0.000,0.012,29.300,65.865,0.717,20.750,0,400421597.000,0,0.018,63.380,67.108,64.001,0.000,1.134,0,2020-10-06,16
"(672, 551, '0')",0.000,0.104,0.225,0.000,0.021,26.700,47.690,1.785,30.907,0,1626744834.000,0,0.104,48.312,53.438,49.088,0.000,5.032,1,2020-10-06,16
"(527, 524, '0')",0.000,0.140,0.472,0.000,0.071,26.700,38.525,1.932,30.907,0,1626661395.000,0,0.140,41.943,43.496,41.010,0.005,5.851,0,2020-10-06,16
"(25, 27, '0')",0.000,0.058,0.550,0.000,0.029,24.500,17.554,0.782,17.434,0,1626738113.000,3,0.058,16.000,18.641,24.233,0.001,0.932,0,2020-10-06,16
"(446, 27, '0')",0.000,0.000,0.000,0.000,0.000,39.300,0.000,0.000,24.432,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(670, 27, '0')",0.000,0.064,0.457,0.000,0.022,39.300,20.505,1.190,24.432,0,1626645082.000,0,0.064,17.709,21.748,21.748,0.000,1.134,0,2020-10-06,16
"(26, 37, '0')",0.000,0.109,0.382,0.000,0.039,29.600,18.486,0.311,45.663,1,429471483.000,3,0.109,16.311,21.127,22.991,0.001,1.785,2,2020-10-06,16
"(225, 37, '0')",0.000,0.065,0.795,0.000,0.058,46.800,19.107,1.015,15.738,0,1626690284.000,1,0.065,18.020,19.884,22.991,0.003,1.176,0,2020-10-06,16
"(503, 37, '0')",0.000,0.205,0.162,0.000,0.015,33.600,46.137,12.799,41.694,0,1626763468.000,1,0.205,25.321,50.952,36.040,0.000,5.183,0,2020-10-06,16
"(514, 517, '0')",0.000,0.000,0.000,0.000,0.000,26.700,0.000,0.000,30.907,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
